Genero,Frecuencia_Compra_Online,Metodo_Pago_Preferido,Sensibilidad_Precio,Participacion_Promociones,Nivel_Preocupacion_Seguridad,Preferencia_Retailer_Local_Internacional,Marketplace_Preferido,Factor_Atraccion,Factor_Eleccion_Retailer,Rango_Precio_Comodo
Masculino,Una vez al mes,Tarjeta de crédito o débito,Ligeramente sensible al precio,Participa con frecuencia,Muy preocupado,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,Más de 10k
Femenino,Una vez al mes,Tarjeta de crédito o débito,Extremadamente sensible al precio,Rara vez o nunca participa,Neutral,"Sin preferencia, depende del producto",AliExpress,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Siempre aprovecha las promociones y descuentos,Muy preocupado,"Sin preferencia, depende del producto",Otros,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Masculino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Nada preocupado,Prefiere a los minoristas locales,Otros,Descuentos y promociones atractivas,Reseñas y calificaciones de productos,1k-5k
Masculino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Muy preocupado,"Sin preferencia, depende del producto",Amazon,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Participar ocasionalmente,Muy preocupado,"Sin preferencia, depende del producto",Otros,Gran variedad de productos,Reseñas y calificaciones de productos,5k-10k
Femenino,Multiple times per week,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,5k-10k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Participar ocasionalmente,Muy preocupado,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Participar ocasionalmente,Neutral,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,1k-5k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Masculino,Una vez a la semana,Other digital wallets,Ligeramente sensible al precio,Participar ocasionalmente,Neutral,Prefiere a los minoristas locales,AliExpress,Descuentos y promociones atractivas,Precio y descuentos,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Siempre aprovecha las promociones y descuentos,Neutral,Prefiere minoristas internacionales,Daraz,Ahorra tiempo,Reputación de la marca y confiabilidad,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Otros,Gran variedad de productos,Precio y descuentos,Menos de 1k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",AliExpress,Facilidad y comodidad de comprar desde casa,Precio y descuentos,Menos de 1k
Masculino,Rara vez o nunca,Tarjeta de crédito o débito,Moderadamente sensible al precio,Rara vez o nunca participa,Neutral,"Sin preferencia, depende del producto",Amazon,Ahorra tiempo,Atención y soporte al cliente,5k-10k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Nada sensible al precio,Rara vez o nunca participa,Neutral,Prefiere a los minoristas locales,Daraz,Gran variedad de productos,Precio y descuentos,Menos de 1k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Ahorra tiempo,Reputación de la marca y confiabilidad,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Descuentos y promociones atractivas,Reputación de la marca y confiabilidad,1k-5k
Masculino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Muy preocupado,"Sin preferencia, depende del producto",Otros,Descuentos y promociones atractivas,Precio y descuentos,5k-10k
Femenino,Multiple times per week,Tarjeta de crédito o débito,Moderadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",AliExpress,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,5k-10k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Ahorra tiempo,Reputación de la marca y confiabilidad,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Algo preocupado,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Neutral,"Sin preferencia, depende del producto",Otros,Gran variedad de productos,Reputación de la marca y confiabilidad,1k-5k
Femenino,Multiple times per week,Transferencias bancarias o depósitos directos,Nada sensible al precio,Participa con frecuencia,Algo preocupado,Prefiere minoristas internacionales,Amazon,Interfaz de sitio web fácil de usar,Atención y soporte al cliente,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,5k-10k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Participa con frecuencia,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Precio y descuentos,1k-5k
Femenino,Una vez a la semana,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Algo preocupado,Prefiere a los minoristas locales,Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,Prefiere a los minoristas locales,Daraz,Descuentos y promociones atractivas,Precio y descuentos,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Nada sensible al precio,Participar ocasionalmente,Algo preocupado,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Atención y soporte al cliente,Más de 10k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Muy preocupado,Prefiere minoristas internacionales,Daraz,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Participar ocasionalmente,Muy preocupado,"Sin preferencia, depende del producto",Amazon,Descuentos y promociones atractivas,Reseñas y calificaciones de productos,Menos de 1k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Siempre aprovecha las promociones y descuentos,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,Más de 10k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Participar ocasionalmente,Algo preocupado,"Sin preferencia, depende del producto",AliExpress,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Precio y descuentos,1k-5k
Femenino,Rara vez o nunca,Other digital wallets,Extremadamente sensible al precio,Siempre aprovecha las promociones y descuentos,Muy preocupado,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Atención y soporte al cliente,Menos de 1k
Masculino,Una vez al mes,Tarjeta de crédito o débito,Ligeramente sensible al precio,Participar ocasionalmente,Muy preocupado,"Sin preferencia, depende del producto",Amazon,Descuentos y promociones atractivas,Precio y descuentos,5k-10k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Algo preocupado,Prefiere a los minoristas locales,Otros,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,5k-10k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Siempre aprovecha las promociones y descuentos,Muy preocupado,"Sin preferencia, depende del producto",Amazon,Ahorra tiempo,Reputación de la marca y confiabilidad,Menos de 1k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Siempre aprovecha las promociones y descuentos,Muy preocupado,Prefiere a los minoristas locales,Daraz,Gran variedad de productos,Precio y descuentos,Menos de 1k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Participa con frecuencia,Algo preocupado,"Sin preferencia, depende del producto",AliExpress,Facilidad y comodidad de comprar desde casa,Precio y descuentos,5k-10k
Masculino,Una vez a la semana,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Participar ocasionalmente,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Masculino,Una vez a la semana,Tarjeta de crédito o débito,Nada sensible al precio,Participa con frecuencia,Neutral,Prefiere minoristas internacionales,Otros,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,Más de 10k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Descuentos y promociones atractivas,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Nada preocupado,"Sin preferencia, depende del producto",Amazon,Descuentos y promociones atractivas,Precio y descuentos,1k-5k
Femenino,Multiple times per week,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Participa con frecuencia,Algo preocupado,"Sin preferencia, depende del producto",Amazon,Facilidad y comodidad de comprar desde casa,Precio y descuentos,5k-10k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Neutral,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Atención y soporte al cliente,5k-10k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Muy preocupado,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Algo preocupado,"Sin preferencia, depende del producto",Otros,Interfaz de sitio web fácil de usar,Reputación de la marca y confiabilidad,Más de 10k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Muy preocupado,"Sin preferencia, depende del producto",Otros,Descuentos y promociones atractivas,Precio y descuentos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Nada sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Gran variedad de productos,Reputación de la marca y confiabilidad,1k-5k
Masculino,Rara vez o nunca,Other digital wallets,Extremadamente sensible al precio,Participar ocasionalmente,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Descuentos y promociones atractivas,Precio y descuentos,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Amazon,Gran variedad de productos,Reputación de la marca y confiabilidad,1k-5k
Masculino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Neutral,Prefiere a los minoristas locales,Daraz,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez a la semana,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Algo preocupado,"Sin preferencia, depende del producto",Otros,Gran variedad de productos,Reputación de la marca y confiabilidad,1k-5k
Femenino,Una vez a la semana,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Neutral,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,5k-10k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Siempre aprovecha las promociones y descuentos,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,5k-10k
Femenino,Una vez a la semana,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Ahorra tiempo,Reputación de la marca y confiabilidad,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Participar ocasionalmente,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Precio y descuentos,5k-10k
Masculino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Neutral,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Participar ocasionalmente,Muy preocupado,Prefiere minoristas internacionales,Otros,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,5k-10k
Masculino,Una vez a la semana,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Muy preocupado,Prefiere minoristas internacionales,AliExpress,Gran variedad de productos,Precio y descuentos,1k-5k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Gran variedad de productos,Reputación de la marca y confiabilidad,5k-10k
Femenino,Multiple times per week,Tarjeta de crédito o débito,Moderadamente sensible al precio,Participar ocasionalmente,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Precio y descuentos,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Participa con frecuencia,Neutral,"Sin preferencia, depende del producto",Otros,Ahorra tiempo,Atención y soporte al cliente,Más de 10k
Masculino,Una vez a la semana,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Participa con frecuencia,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Ahorra tiempo,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Muy preocupado,Prefiere a los minoristas locales,Otros,Descuentos y promociones atractivas,Reputación de la marca y confiabilidad,5k-10k
Masculino,Una vez al mes,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Participar ocasionalmente,Neutral,Prefiere a los minoristas locales,Daraz,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Masculino,Una vez al mes,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Participar ocasionalmente,Neutral,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Algo preocupado,Prefiere a los minoristas locales,Otros,Ahorra tiempo,Reputación de la marca y confiabilidad,5k-10k
Masculino,Una vez al mes,Tarjeta de crédito o débito,Ligeramente sensible al precio,Participa con frecuencia,Algo preocupado,"Sin preferencia, depende del producto",Otros,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,5k-10k
Masculino,Una vez al mes,Transferencias bancarias o depósitos directos,Moderadamente sensible al precio,Participar ocasionalmente,Muy preocupado,Prefiere a los minoristas locales,Otros,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Femenino,Multiple times per week,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Muy preocupado,Prefiere minoristas internacionales,Amazon,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,Menos de 1k
Femenino,Una vez a la semana,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Siempre aprovecha las promociones y descuentos,Muy preocupado,Prefiere a los minoristas locales,Daraz,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Rara vez o nunca participa,Neutral,"Sin preferencia, depende del producto",Otros,Descuentos y promociones atractivas,Reseñas y calificaciones de productos,5k-10k
Femenino,Una vez al mes,Tarjeta de crédito o débito,Nada sensible al precio,Siempre aprovecha las promociones y descuentos,Nada preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Precio y descuentos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Siempre aprovecha las promociones y descuentos,Muy preocupado,Prefiere a los minoristas locales,Daraz,Facilidad y comodidad de comprar desde casa,Precio y descuentos,Menos de 1k
Femenino,Una vez al mes,Other digital wallets,Moderadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Gran variedad de productos,Reputación de la marca y confiabilidad,1k-5k
Masculino,Rara vez o nunca,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Muy preocupado,"Sin preferencia, depende del producto",Otros,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Masculino,Una vez al mes,Tarjeta de crédito o débito,Moderadamente sensible al precio,Participar ocasionalmente,Muy preocupado,"Sin preferencia, depende del producto",AliExpress,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Ahorra tiempo,Precio y descuentos,1k-5k
Masculino,Una vez al mes,Tarjeta de crédito o débito,Moderadamente sensible al precio,Participar ocasionalmente,Muy preocupado,Prefiere a los minoristas locales,Daraz,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Femenino,Rara vez o nunca,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Rara vez o nunca participa,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,Menos de 1k
Femenino,Una vez a la semana,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participar ocasionalmente,Neutral,Prefiere minoristas internacionales,Otros,Gran variedad de productos,Reseñas y calificaciones de productos,5k-10k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Moderadamente sensible al precio,Participa con frecuencia,Muy preocupado,Prefiere a los minoristas locales,Otros,Facilidad y comodidad de comprar desde casa,Precio y descuentos,1k-5k
Femenino,Rara vez o nunca,Tarjeta de crédito o débito,Extremadamente sensible al precio,Siempre aprovecha las promociones y descuentos,Algo preocupado,Prefiere minoristas internacionales,AliExpress,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Participa con frecuencia,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Precio y descuentos,1k-5k
Femenino,Rara vez o nunca,Tarjeta de crédito o débito,Moderadamente sensible al precio,Rara vez o nunca participa,Algo preocupado,"Sin preferencia, depende del producto",Daraz,Ahorra tiempo,Reputación de la marca y confiabilidad,1k-5k
Masculino,Una vez al mes,Tarjeta de crédito o débito,Nada sensible al precio,Rara vez o nunca participa,Algo preocupado,"Sin preferencia, depende del producto",Amazon,Gran variedad de productos,Reseñas y calificaciones de productos,1k-5k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Extremadamente sensible al precio,Participa con frecuencia,Muy preocupado,"Sin preferencia, depende del producto",Daraz,Facilidad y comodidad de comprar desde casa,Reseñas y calificaciones de productos,5k-10k
Femenino,Una vez a la semana,Tarjeta de crédito o débito,Ligeramente sensible al precio,Participar ocasionalmente,Muy preocupado,Prefiere minoristas internacionales,Otros,Facilidad y comodidad de comprar desde casa,Reputación de la marca y confiabilidad,Más de 10k
Femenino,Una vez al mes,Pago contra entrega (si está disponible),Ligeramente sensible al precio,Rara vez o nunca participa,Neutral,Prefiere a los minoristas locales,Daraz,Gran variedad de productos,Reputación de la marca y confiabilidad,1k-5k
